2023-06-21 19:28:12 INFO  TestBase:93 - Found Element: By.cssSelector: div.add-to-cart-panel #add-to-cart-button-19
2023-06-21 19:28:12 INFO  TestBase:87 - Finding Element: By.cssSelector: div.add-to-cart-panel #add-to-cart-button-19
2023-06-21 19:28:12 INFO  TestBase:93 - Found Element: By.cssSelector: div.add-to-cart-panel #add-to-cart-button-19
2023-06-21 19:28:12 INFO  TestBase:87 - Finding Element: By.cssSelector: div.add-to-cart-panel #add-to-cart-button-19
2023-06-21 19:28:12 INFO  TestBase:93 - Found Element: By.cssSelector: div.add-to-cart-panel #add-to-cart-button-19
2023-06-21 19:28:12 INFO  TestBase:105 - Clicked ON: [[ChromeDriver: chrome on WINDOWS (4dd510c75ef1cb52d7bc7b3f40068c23)] -> css selector: div.add-to-cart-panel #add-to-cart-button-19]
2023-06-21 19:28:12 INFO  TestBase:87 - Finding Element: By.cssSelector: #bar-notification a
2023-06-21 19:28:12 INFO  TestBase:87 - Finding Element: By.cssSelector: #bar-notification a
2023-06-21 19:28:12 INFO  TestBase:93 - Found Element: By.cssSelector: #bar-notification a
2023-06-21 19:28:12 INFO  TestBase:87 - Finding Element: By.cssSelector: #bar-notification a
2023-06-21 19:28:12 INFO  TestBase:93 - Found Element: By.cssSelector: #bar-notification a
2023-06-21 19:28:12 INFO  TestBase:87 - Finding Element: By.cssSelector: #bar-notification a
2023-06-21 19:28:12 INFO  TestBase:93 - Found Element: By.cssSelector: #bar-notification a
2023-06-21 19:28:13 INFO  TestBase:105 - Clicked ON: [[ChromeDriver: chrome on WINDOWS (4dd510c75ef1cb52d7bc7b3f40068c23)] -> css selector: #bar-notification a]
2023-06-21 19:28:13 INFO  TestBase:87 - Finding Element: By.cssSelector: input[name='termsofservice']
2023-06-21 19:28:13 INFO  TestBase:93 - Found Element: By.cssSelector: input[name='termsofservice']
2023-06-21 19:28:13 INFO  TestBase:87 - Finding Element: By.cssSelector: input[name='termsofservice']
2023-06-21 19:28:13 INFO  TestBase:93 - Found Element: By.cssSelector: input[name='termsofservice']
2023-06-21 19:28:13 INFO  TestBase:105 - Clicked ON: [[ChromeDriver: chrome on WINDOWS (4dd510c75ef1cb52d7bc7b3f40068c23)] -> css selector: input[name='termsofservice']]
2023-06-21 19:28:13 INFO  TestBase:87 - Finding Element: By.cssSelector: button[name='checkout']
2023-06-21 19:28:13 INFO  TestBase:93 - Found Element: By.cssSelector: button[name='checkout']
2023-06-21 19:28:13 INFO  TestBase:87 - Finding Element: By.cssSelector: button[name='checkout']
2023-06-21 19:28:13 INFO  TestBase:93 - Found Element: By.cssSelector: button[name='checkout']
2023-06-21 19:28:13 INFO  TestBase:87 - Finding Element: By.cssSelector: button[name='checkout']
2023-06-21 19:28:13 INFO  TestBase:93 - Found Element: By.cssSelector: button[name='checkout']
2023-06-21 19:28:14 INFO  TestBase:105 - Clicked ON: [[ChromeDriver: chrome on WINDOWS (4dd510c75ef1cb52d7bc7b3f40068c23)] -> css selector: button[name='checkout']]
2023-06-21 19:28:14 INFO  TestBase:87 - Finding Element: By.cssSelector: #BillingNewAddress_FirstName
2023-06-21 19:28:14 INFO  TestBase:93 - Found Element: By.cssSelector: #BillingNewAddress_FirstName
2023-06-21 19:28:14 INFO  TestBase:87 - Finding Element: By.cssSelector: #BillingNewAddress_FirstName
2023-06-21 19:28:14 INFO  TestBase:93 - Found Element: By.cssSelector: #BillingNewAddress_FirstName
2023-06-21 19:28:14 INFO  TestBase:87 - Finding Element: By.cssSelector: #BillingNewAddress_FirstName
2023-06-21 19:28:14 INFO  TestBase:93 - Found Element: By.cssSelector: #BillingNewAddress_FirstName
2023-06-21 19:28:15 INFO  TestBase:87 - Finding Element: By.cssSelector: #BillingNewAddress_LastName
2023-06-21 19:28:15 INFO  TestBase:93 - Found Element: By.cssSelector: #BillingNewAddress_LastName
2023-06-21 19:28:15 INFO  TestBase:87 - Finding Element: By.cssSelector: #BillingNewAddress_LastName
2023-06-21 19:28:15 INFO  TestBase:93 - Found Element: By.cssSelector: #BillingNewAddress_LastName
2023-06-21 19:28:15 INFO  TestBase:87 - Finding Element: By.cssSelector: #BillingNewAddress_LastName
